Participant,Condition,Trial_Number,Target_EventID,Choice,Source_mentioned,Goal_mentioned,Condition Count:,,
1,NonLinguistic_List1a_Source_Change,1,Beetle,same,,,,,
1,NonLinguistic_List1a_Source_Change,2,Car,different,,,,,
1,NonLinguistic_List1a_Source_Change,3,Snake,different,,,,,
1,NonLinguistic_List1a_Source_Change,4,Helicopter,same,,,,,
1,NonLinguistic_List1a_Source_Change,5,Fairy,different,,,,,
1,NonLinguistic_List1a_Source_Change,6,Girl,same,,,,,
1,NonLinguistic_List1a_Source_Change,7,Horse,different,,,,,
1,NonLinguistic_List1a_Source_Change,8,Oldlady,same,,,,,
1,NonLinguistic_List1a_Source_Change,9,Hamster,different,,,,,
1,NonLinguistic_List1a_Source_Change,10,Ghost,same,,,,,
1,NonLinguistic_List1a_Source_Change,11,Butterfly,different,,,,,
1,NonLinguistic_List1a_Source_Change,12,Cow,same,,,,,
1,NonLinguistic_List1a_Source_Change,13,Chicken,same,,,,,
1,NonLinguistic_List1a_Source_Change,14,Man,same,,,,,
1,NonLinguistic_List1a_Source_Change,15,Pigeon,different,,,,,
1,NonLinguistic_List1a_Source_Change,16,Police,different,,,,,
1,NonLinguistic_List1a_Source_Change,17,Pig,different,,,,,
1,NonLinguistic_List1a_Source_Change,18,Cat,same,,,,,
1,NonLinguistic_List1a_Source_Change,19,Witch,same,,,,,
1,NonLinguistic_List1a_Source_Change,20,Farmer,same,,,,,
1,NonLinguistic_List1a_Source_Change,21,Bunny,same,,,,,
1,NonLinguistic_List1a_Source_Change,22,Turtle,same,,,,,
1,NonLinguistic_List1a_Source_Change,23,Boy,same,,,,,
1,NonLinguistic_List1a_Source_Change,24,Spider,different,,,,,
1,NonLinguistic_List1a_Source_Change,25,Frog,different,,,,,
1,NonLinguistic_List1a_Source_Change,26,Squirrel,different,,,,,
1,NonLinguistic_List1a_Source_Change,27,Dog,same,,,,,
1,NonLinguistic_List1a_Source_Change,28,Dolphin,different,,,,,
2,NonLinguistic_List1b_Source_Change,1,Dolphin,same,,,,,
2,NonLinguistic_List1b_Source_Change,2,Dog,same,,,,,
2,NonLinguistic_List1b_Source_Change,3,Squirrel,same,,,,,
2,NonLinguistic_List1b_Source_Change,4,Frog,same,,,,,
2,NonLinguistic_List1b_Source_Change,5,Spider,same,,,,,
2,NonLinguistic_List1b_Source_Change,6,Boy,same,,,,,
2,NonLinguistic_List1b_Source_Change,7,Turtle,same,,,,,
2,NonLinguistic_List1b_Source_Change,8,Bunny,different,,,,,
2,NonLinguistic_List1b_Source_Change,9,Farmer,same,,,,,
2,NonLinguistic_List1b_Source_Change,10,Witch,different,,,,,
2,NonLinguistic_List1b_Source_Change,11,Cat,same,,,,,
2,NonLinguistic_List1b_Source_Change,12,Pig,same,,,,,
2,NonLinguistic_List1b_Source_Change,13,Police,same,,,,,
2,NonLinguistic_List1b_Source_Change,14,Pigeon,same,,,,,
2,NonLinguistic_List1b_Source_Change,15,Man,same,,,,,
2,NonLinguistic_List1b_Source_Change,16,Chicken,same,,,,,
2,NonLinguistic_List1b_Source_Change,17,Cow,same,,,,,
2,NonLinguistic_List1b_Source_Change,18,Butterfly,same,,,,,
2,NonLinguistic_List1b_Source_Change,19,Ghost,same,,,,,
2,NonLinguistic_List1b_Source_Change,20,Hamster,same,,,,,
2,NonLinguistic_List1b_Source_Change,21,Oldlady,same,,,,,
2,NonLinguistic_List1b_Source_Change,22,Horse,same,,,,,
2,NonLinguistic_List1b_Source_Change,23,Girl,different,,,,,
2,NonLinguistic_List1b_Source_Change,24,Fairy,same,,,,,
2,NonLinguistic_List1b_Source_Change,25,Helicopter,same,,,,,
2,NonLinguistic_List1b_Source_Change,26,Snake,same,,,,,
2,NonLinguistic_List1b_Source_Change,27,Car,different,,,,,
2,NonLinguistic_List1b_Source_Change,28,Beetle,same,,,,,
3,NonLinguistic_List1a_Goal_Change,1,Beetle,different,,,,,
3,NonLinguistic_List1a_Goal_Change,2,Car,same,,,,,
3,NonLinguistic_List1a_Goal_Change,3,Snake,different,,,,,
3,NonLinguistic_List1a_Goal_Change,4,Helicopter,same,,,,,
3,NonLinguistic_List1a_Goal_Change,5,Fairy,same,,,,,
3,NonLinguistic_List1a_Goal_Change,6,Girl,same,,,,,
3,NonLinguistic_List1a_Goal_Change,7,Horse,same,,,,,
3,NonLinguistic_List1a_Goal_Change,8,Oldlady,same,,,,,
3,NonLinguistic_List1a_Goal_Change,9,Hamster,different,,,,,
3,NonLinguistic_List1a_Goal_Change,10,Ghost,same,,,,,
3,NonLinguistic_List1a_Goal_Change,11,Butterfly,different,,,,,
3,NonLinguistic_List1a_Goal_Change,12,Cow,same,,,,,
3,NonLinguistic_List1a_Goal_Change,13,Chicken,different,,,,,
3,NonLinguistic_List1a_Goal_Change,14,Man,same,,,,,
3,NonLinguistic_List1a_Goal_Change,15,Pigeon,same,,,,,
3,NonLinguistic_List1a_Goal_Change,16,Police,same,,,,,
3,NonLinguistic_List1a_Goal_Change,17,Pig,same,,,,,
3,NonLinguistic_List1a_Goal_Change,18,Cat,same,,,,,
